accuracy,balanced_accuracy,precision,recall,f1,mcc,kappa,sensitivity,specificity,roc_auc,pr_auc,model,fold
0.7833850931677019,0.7813851309075235,0.7866435385949696,0.7440525020508614,0.7647554806070826,0.5650746349164305,0.5643238570611937,0.7440525020508608,0.8187177597641851,0.8483205908898834,0.8345887477475703,logreg,0
0.8012422360248447,0.8009621668219297,0.786699107866991,0.7957342083675144,0.7911908646003263,0.6016087340718183,0.6015730305851619,0.7957342083675137,0.8061901252763444,0.8975609107335766,0.8936613794974183,svm_rbf,0
0.8020186335403726,0.8009065502426274,0.7971500419111484,0.7801476620180475,0.7885572139303483,0.6025902523459895,0.6024664894283367,0.780147662018047,0.8216654384672065,0.8607267152425094,0.7678730322109687,random_forest,0
0.7705745341614907,0.7676408837474451,0.7828828828828829,0.7128794093519278,0.7462430227565479,0.5396917173560428,0.5377266251361846,0.7128794093519273,0.8224023581429619,0.8535884481946677,0.8504803109994226,mlp,0
0.8035714285714286,0.8020049776838476,0.8044406490179334,0.7727645611156686,0.7882845188284519,0.6056465724596838,0.6052217284088217,0.772764561115668,0.8312453942520259,0.8801257176503445,0.8531195570650572,xgboost,0
0.7884316770186336,0.7870093574894677,0.785593220338983,0.760459392945037,0.7728220091704877,0.5752201830529029,0.5749540415575733,0.7604593929450364,0.8135593220338978,0.8726271518931097,0.8574576925622949,standard_anfis,0
0.7281720430107527,0.7281834622607861,0.7165032679738562,0.7547332185886403,0.7351215423302598,0.45700685466843144,0.4563564561278106,0.7547332185886397,0.7016337059329315,0.777079574901991,0.6888999442724598,logreg,1
0.7729032258064517,0.7729327825982717,0.7397881996974282,0.8416523235800344,0.7874396135265701,0.5510771781699614,0.5458332531746537,0.8416523235800337,0.7042132416165084,0.8709969468834682,0.8741505352547496,svm_rbf,1
0.8116129032258065,0.8116235979416992,0.7967213114754098,0.8364888123924269,0.8161209068010076,0.6240109350502985,0.623233821826429,0.8364888123924262,0.786758383490971,0.8882652585529441,0.8844113981804107,random_forest,1
0.7681720430107527,0.7682110335458034,0.7268754552075747,0.8588640275387264,0.7873767258382643,0.5454385306430313,0.5363801935832584,0.8588640275387257,0.67755803955288,0.8372850201937834,0.8115566768902486,mlp,1
0.7724731182795699,0.7725154394756275,0.7275341480948958,0.8709122203098106,0.7927927927927928,0.5558748514383228,0.5449847042645672,0.87091222030981,0.674118658641444,0.870262526583425,0.8629212844566182,xgboost,1
0.7393548387096774,0.7393769895945408,0.7168486739469578,0.7908777969018933,0.7520458265139116,0.48130364561965566,0.47873272431566904,0.7908777969018926,0.6878761822871877,0.7821476299498449,0.7195856039211135,standard_anfis,1
0.7518427518427518,0.7490903186283555,0.8542413381123058,0.5963302752293578,0.7023575638506876,0.5247249953201942,0.5008570601723025,0.5963302752293573,0.9018503620273525,0.816309783494827,0.8396591277213483,logreg,2
0.780917280917281,0.778048816491619,0.9048780487804878,0.6188490408673895,0.7350173353145122,0.5886590852963869,0.5592262987181675,0.618849040867389,0.9372485921158481,0.8749927030906017,0.8897496743432011,svm_rbf,2
0.7735462735462736,0.7703506609490209,0.9162371134020618,0.5929941618015012,0.72,0.5805427796959167,0.5440987514947155,0.5929941618015008,0.9477071600965399,0.8660814153924195,0.8783920872026574,random_forest,2
0.762080262080262,0.7594418652712068,0.8626760563380281,0.6130108423686406,0.7167235494880546,0.5442480103732114,0.5215552736418063,0.6130108423686401,0.9058728881737724,0.8401336055723561,0.8566601208815021,mlp,2
0.7800982800982801,0.7770671724962543,0.9147869674185464,0.6088407005838199,0.7310966449674512,0.59061962287025,0.5574340126962913,0.6088407005838193,0.945293644408688,0.8791447284107097,0.8943992012088398,xgboost,2
0.7559377559377559,0.753024275391735,0.8699386503067484,0.591326105087573,0.7040714995034757,0.5364938655963811,0.5089334095413416,0.5913261050875726,0.9147224456958963,0.8450163283025476,0.8621108076004845,standard_anfis,2
0.6544880469102391,0.6572534935991401,0.617339312406577,0.7648148148148148,0.6832092638544252,0.32136599034669144,0.3126349354374154,0.7648148148148142,0.5496921723834648,0.6805661422196163,0.5865249278406118,logreg,3
