accuracy,balanced_accuracy,precision,recall,f1,mcc,kappa,sensitivity,specificity,roc_auc,pr_auc,fold,n_selected_features,test_subjects
0.7910906298003072,0.790421577997239,0.8372513562386981,0.7178294573643411,0.7729549248747913,0.5875136267801747,0.5816007542301395,0.7178294573643399,0.8630136986301357,0.8709213833138649,0.8590926971002905,0,60,"[np.int64(5), np.int64(11), np.int64(19), np.int64(23), np.int64(34)]"
0.7388724035608308,0.7396046143008101,0.7897526501766784,0.6573529411764706,0.7174959871589085,0.48546314889687653,0.4784887145984824,0.6573529411764696,0.8218562874251485,0.8157526858048608,0.8142897862312846,1,60,"[np.int64(3), np.int64(12), np.int64(24), np.int64(35), np.int64(46)]"
0.861995753715499,0.8617051611063586,0.849438202247191,0.8571428571428571,0.8532731376975169,0.723043887733405,0.7230176286183452,0.8571428571428552,0.8662674650698585,0.9328417993944085,0.9337753195739487,2,60,"[np.int64(10), np.int64(21), np.int64(31), np.int64(42)]"
0.7925045703839122,0.7873079620067571,0.7689969604863222,0.8709122203098106,0.8167877320419693,0.5856905468518829,0.5797078883679998,0.8709122203098092,0.7037037037037023,0.8807896582151498,0.8909110841615364,3,60,"[np.int64(13), np.int64(18), np.int64(27), np.int64(32), np.int64(41)]"
0.7722277722277723,0.7734355656722974,0.7352415026833632,0.8370672097759674,0.7828571428571428,0.5505462307023682,0.5454639602319801,0.8370672097759657,0.709803921568626,0.8515754163172397,0.8411706914390359,4,60,"[np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(36)]"
0.6911532385466035,0.6986612060160615,0.6308470290771175,0.8344481605351171,0.7185025197984162,0.40968195941042634,0.3907153530484788,0.8344481605351156,0.5628742514970051,0.7854850499669557,0.737218760134986,5,60,"[np.int64(28), np.int64(29), np.int64(40), np.int64(44), np.int64(47)]"
0.7012791572610986,0.7026362002777098,0.6719424460431654,0.7342767295597484,0.7017280240420737,0.405326662568924,0.4037321200326832,0.7342767295597472,0.67099567099567,0.7441406427255484,0.6497459283756234,6,60,"[np.int64(2), np.int64(20), np.int64(25), np.int64(30), np.int64(37)]"
0.8418250950570342,0.8398780487804878,0.8455008488964346,0.8097560975609757,0.8272425249169435,0.6820461034726623,0.6815053738399376,0.8097560975609742,0.8699999999999988,0.9004146341463415,0.8955411036123555,7,60,"[np.int64(1), np.int64(4), np.int64(17), np.int64(22), np.int64(48)]"
0.7692901234567902,0.761583269671505,0.8694638694638694,0.6055194805194806,0.7138755980861244,0.5551963179522996,0.5307486631016043,0.6055194805194795,0.917647058823528,0.8640625,0.8636801683384456,8,60,"[np.int64(7), np.int64(9), np.int64(26), np.int64(38), np.int64(45)]"
0.7477656405163853,0.750882561996525,0.6971235194585449,0.8459958932238193,0.764378478664193,0.509244348934012,0.49838795713770223,0.8459958932238175,0.6557692307692294,0.8344771758016111,0.8230843462042113,9,60,"[np.int64(14), np.int64(33), np.int64(39), np.int64(43)]"
