accuracy,balanced_accuracy,precision,recall,f1,mcc,kappa,sensitivity,specificity,roc_auc,pr_auc,fold,n_selected_features,test_subjects
0.761136712749616,0.7601182259035077,0.8313492063492064,0.6496124031007752,0.7293298520452568,0.5340065784702678,0.5212771239882814,0.6496124031007742,0.8706240487062391,0.8503321416351043,0.8330225678835115,0,26,"[np.int64(5), np.int64(11), np.int64(19), np.int64(23), np.int64(34)]"
0.7433234421364985,0.7438974991194083,0.7830508474576271,0.6794117647058824,0.7275590551181103,0.49160854354479083,0.4872157966489291,0.6794117647058814,0.8083832335329328,0.8121191440648117,0.799173835384576,1,32,"[np.int64(3), np.int64(12), np.int64(24), np.int64(35), np.int64(46)]"
0.8503184713375797,0.8480114600730513,0.8605769230769231,0.8117913832199547,0.8354725787631272,0.699394417532959,0.6983936673161029,0.8117913832199528,0.8842315369261459,0.9185212341756398,0.9161045467685265,2,27,"[np.int64(10), np.int64(21), np.int64(31), np.int64(42)]"
0.7723948811700183,0.7667780562517404,0.75,0.8571428571428571,0.8,0.5451406666015228,0.5386561709305595,0.8571428571428557,0.6764132553606225,0.8665254166205338,0.8874101054541714,3,33,"[np.int64(13), np.int64(18), np.int64(27), np.int64(32), np.int64(41)]"
0.7232767232767233,0.7242202787428618,0.6959706959706959,0.7739307535641547,0.7328833172613307,0.45022405815456573,0.44750679963735274,0.7739307535641532,0.6745098039215672,0.7914460285132382,0.7668170080442678,4,24,"[np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(36)]"
0.6690363349131122,0.6786669136643102,0.6064209274673008,0.8528428093645485,0.7088255733148019,0.377763933019202,0.3498844274932654,0.852842809364547,0.504491017964071,0.7635431478180762,0.7045783650582413,5,25,"[np.int64(28), np.int64(29), np.int64(40), np.int64(44), np.int64(47)]"
0.7291196388261851,0.7293963897737482,0.7090909090909091,0.7358490566037735,0.7222222222222222,0.4583811215197438,0.4580818789756972,0.7358490566037724,0.7229437229437219,0.7657607067984427,0.6474851179915109,6,18,"[np.int64(2), np.int64(20), np.int64(25), np.int64(30), np.int64(37)]"
0.8266159695817491,0.824506387921022,0.8296422487223168,0.791869918699187,0.8103161397670549,0.6514109934498484,0.6508117677202954,0.7918699186991857,0.8571428571428559,0.8949953542392566,0.8783405798091312,7,31,"[np.int64(1), np.int64(4), np.int64(17), np.int64(22), np.int64(48)]"
0.7615740740740741,0.7527024446142093,0.8847117794486216,0.573051948051948,0.6955665024630542,0.5467661024105122,0.5139244931251457,0.5730519480519471,0.9323529411764692,0.8787409281894575,0.8685212049499873,8,25,"[np.int64(7), np.int64(9), np.int64(26), np.int64(38), np.int64(45)]"
0.7199602780536246,0.7224609066498184,0.6788830715532286,0.7987679671457906,0.7339622641509433,0.4489807026003678,0.44244263897996927,0.7987679671457889,0.6461538461538449,0.8141900963512874,0.813491130455773,9,25,"[np.int64(14), np.int64(33), np.int64(39), np.int64(43)]"
