accuracy,balanced_accuracy,precision,recall,f1,mcc,kappa,sensitivity,specificity,roc_auc,pr_auc,fold,n_selected_features,test_subjects
0.7304147465437788,0.7295918728540582,0.7763157894736842,0.6403100775193798,0.7017841971112999,0.46703332410391374,0.45991959100610513,0.6403100775193789,0.8188736681887354,0.817217089660543,0.7931953938703623,0,27,"[np.int64(5), np.int64(11), np.int64(19), np.int64(23), np.int64(34)]"
0.7307121661721068,0.7320051074321945,0.8295218295218295,0.586764705882353,0.6873385012919897,0.4842706425167776,0.46279373081500275,0.5867647058823521,0.8772455089820346,0.8140201215216626,0.8083551231420103,1,25,"[np.int64(3), np.int64(12), np.int64(24), np.int64(35), np.int64(46)]"
0.7749469214437368,0.7755237823672383,0.7473002159827213,0.7845804988662132,0.7654867256637168,0.5500079828128952,0.5494063654947405,0.7845804988662113,0.7664670658682619,0.8590958672224711,0.8580083793453124,2,20,"[np.int64(10), np.int64(21), np.int64(31), np.int64(42)]"
0.7888482632541134,0.784093768557941,0.7692307692307693,0.8605851979345955,0.8123476848090982,0.5774179610725171,0.5726952693037365,0.860585197934594,0.7076023391812851,0.871589952122609,0.8753870997558825,3,24,"[np.int64(13), np.int64(18), np.int64(27), np.int64(32), np.int64(41)]"
0.7142857142857143,0.7145241803442355,0.7013752455795678,0.7270875763747454,0.714,0.4290329410683177,0.4287555720505545,0.7270875763747439,0.7019607843137241,0.7837127111537079,0.772157996664879,4,31,"[np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(36)]"
0.6477093206951027,0.6575811587527287,0.589622641509434,0.8361204013377926,0.6915629322268326,0.33457003483625336,0.30840686502667713,0.8361204013377912,0.47904191616766395,0.7615930346664531,0.7238220864139067,5,30,"[np.int64(28), np.int64(29), np.int64(40), np.int64(44), np.int64(47)]"
0.7238525206922498,0.7257038035339922,0.689703808180536,0.7688679245283019,0.7271375464684015,0.4520069226839385,0.4492868006462999,0.7688679245283007,0.6825396825396816,0.7800001361322118,0.7342733653825306,6,32,"[np.int64(2), np.int64(20), np.int64(25), np.int64(30), np.int64(37)]"
0.8372623574144487,0.8324332171893147,0.8775894538606404,0.7577235772357723,0.8132635253054101,0.6761074077007418,0.6704260651629073,0.7577235772357711,0.9071428571428558,0.9069140534262486,0.9049500682550196,7,26,"[np.int64(1), np.int64(4), np.int64(17), np.int64(22), np.int64(48)]"
0.7137345679012346,0.7039056531703591,0.8249336870026526,0.5048701298701299,0.6263846928499497,0.44841036610465945,0.41539568905143576,0.504870129870129,0.9029411764705869,0.8143119747899159,0.80360402603092,8,23,"[np.int64(7), np.int64(9), np.int64(26), np.int64(38), np.int64(45)]"
0.7765640516385303,0.7782459327120518,0.73992673992674,0.8295687885010267,0.782187802516941,0.5581850349020029,0.554360803025803,0.829568788501025,0.7269230769230755,0.8546477649660401,0.8366842261660552,9,24,"[np.int64(14), np.int64(33), np.int64(39), np.int64(43)]"
