ablation,n_epochs,features,f1_mean,f1_std,bal_acc_mean,n_features_mean
A1_no_artifact_handling,14208,full(243),0.741587666594649,0.034295966901790126,0.7425975975975976,30.2
A2_old_global_zscore,1077,full(243),0.5060446610769687,0.1246994197121599,0.5856114182177936,31.6
A3_A7_quality_aware_full_qea_anfis,11900,full(243),0.728629697128939,0.028030144029865298,0.7351387166819695,30.6
A4_anfis_no_ga_standard,11900,full(243),0.7312865752228118,0.029695720927467268,0.7294071335775747,243.0
A8_spectral_only,11900,spectral(187),0.7191951943239749,0.05086954293129549,0.7280383506592626,28.4
A9_spectral_plus_nonlinear,11900,spec+fuzzyen(201),0.7017818458252723,0.025158909789343972,0.7077968235013558,29.2
A10_full_multidomain,11900,full(243),0.728629697128939,0.028030144029865298,0.7351387166819695,30.6
