accuracy,balanced_accuracy,precision,recall,f1,mcc,kappa,sensitivity,specificity,roc_auc,pr_auc,fold,n_selected_features,test_subjects
0.7425675675675676,0.7425675675675676,0.7207872078720787,0.7918918918918919,0.7546683837733419,0.487513064834202,0.4851351351351352,0.7918918918918908,0.6932432432432423,0.7983747260774289,0.7908564788645464,0,27,"[np.int64(1), np.int64(12), np.int64(21), np.int64(31), np.int64(41)]"
0.7493243243243243,0.7493243243243244,0.7188612099644128,0.8189189189189189,0.7656348704990524,0.5035503042155448,0.49864864864864866,0.8189189189189178,0.6797297297297288,0.8188294375456536,0.7968574075065393,1,31,"[np.int64(2), np.int64(14), np.int64(22), np.int64(32), np.int64(42)]"
0.7216216216216216,0.7216216216216216,0.8166023166023166,0.5716216216216217,0.6724960254372019,0.4646451708713368,0.44324324324324327,0.5716216216216208,0.8716216216216204,0.7761897370343316,0.7936398148078239,2,21,"[np.int64(3), np.int64(17), np.int64(25), np.int64(33), np.int64(44)]"
0.6925675675675675,0.6925675675675675,0.7056277056277056,0.6608108108108108,0.6824842986741103,0.38591430438319224,0.3851351351351351,0.66081081081081,0.7243243243243234,0.7535116873630388,0.7308225613781147,3,25,"[np.int64(4), np.int64(18), np.int64(24), np.int64(34), np.int64(46)]"
0.6175675675675676,0.6175675675675676,0.6135770234986945,0.6351351351351351,0.6241699867197875,0.2352804041904093,0.23513513513513518,0.6351351351351343,0.5999999999999992,0.6829583637691745,0.7035048743564649,4,25,"[np.int64(5), np.int64(11), np.int64(28), np.int64(35), np.int64(47)]"
0.8128378378378378,0.8128378378378378,0.8066225165562914,0.822972972972973,0.8147157190635451,0.6258042553178803,0.6256756756756756,0.8229729729729718,0.8027027027027016,0.8986102994886779,0.9121277656279874,5,25,"[np.int64(6), np.int64(16), np.int64(27), np.int64(36), np.int64(45)]"
0.6614864864864864,0.6614864864864864,0.6749633967789166,0.6229729729729729,0.6479269149683766,0.3239353833290672,0.322972972972973,0.6229729729729722,0.6999999999999991,0.7009678597516436,0.5823558959019619,6,28,"[np.int64(7), np.int64(19), np.int64(23), np.int64(37), np.int64(43)]"
0.8331081081081081,0.8331081081081082,0.8486562942008486,0.8108108108108109,0.82930200414651,0.6668796506202838,0.6662162162162162,0.8108108108108096,0.8554054054054042,0.8979693206720234,0.8888700777595343,7,25,"[np.int64(8), np.int64(20), np.int64(29), np.int64(38), np.int64(48)]"
0.6976351351351351,0.6976351351351351,0.7052631578947368,0.6790540540540541,0.6919104991394148,0.3955434926170429,0.3952702702702703,0.6790540540540528,0.716216216216215,0.78662573046019,0.8067136998239491,8,30,"[np.int64(9), np.int64(15), np.int64(30), np.int64(39)]"
0.7618243243243243,0.7618243243243243,0.7355623100303952,0.8175675675675675,0.7744,0.5269335789392946,0.5236486486486487,0.8175675675675661,0.7060810810810798,0.854351659514244,0.8668480992824829,9,31,"[np.int64(10), np.int64(13), np.int64(26), np.int64(40)]"
