accuracy,balanced_accuracy,precision,recall,f1,mcc,kappa,sensitivity,specificity,roc_auc,pr_auc,fold,n_selected_features,test_subjects
0.782642089093702,0.7816395879791866,0.857707509881423,0.6728682170542636,0.7541268462206777,0.5777692787964791,0.5643899359469984,0.6728682170542625,0.8904109589041082,0.8616273170271258,0.8498356638871949,0,27,"[np.int64(5), np.int64(11), np.int64(19), np.int64(23), np.int64(34)]"
0.7388724035608308,0.7399348362099331,0.8178294573643411,0.6205882352941177,0.705685618729097,0.4936049169486959,0.4788323989947806,0.6205882352941167,0.8592814371257472,0.8346997182106375,0.8209927353869548,1,36,"[np.int64(3), np.int64(12), np.int64(24), np.int64(35), np.int64(46)]"
0.826963906581741,0.8265985036729262,0.8116591928251121,0.8208616780045351,0.8162344983089064,0.6527908770539635,0.6527538434400315,0.8208616780045332,0.8323353293413157,0.9029333623003426,0.904474495706733,2,35,"[np.int64(10), np.int64(21), np.int64(31), np.int64(42)]"
0.7303473491773309,0.7208030115449267,0.6958904109589041,0.8743545611015491,0.7749809305873379,0.46770241778285393,0.4492417752323482,0.8743545611015475,0.567251461988303,0.8182621882685295,0.8371232077887276,3,27,"[np.int64(13), np.int64(18), np.int64(27), np.int64(32), np.int64(41)]"
0.7592407592407593,0.7605007787228945,0.7224199288256228,0.8268839103869654,0.7711301044634378,0.5248853335026381,0.5196019666685916,0.8268839103869636,0.6941176470588222,0.8247953356495349,0.7966288180412965,4,25,"[np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(36)]"
0.6800947867298578,0.6867802855826808,0.6248382923673997,0.8076923076923077,0.7045951859956237,0.382460551895155,0.3679192483030852,0.8076923076923063,0.5658682634730531,0.7444775999839786,0.6796619014659195,5,25,"[np.int64(28), np.int64(29), np.int64(40), np.int64(44), np.int64(47)]"
0.690744920993228,0.6915005853685099,0.6661742983751846,0.7091194968553459,0.686976389946687,0.3827164630918319,0.38198845256965963,0.7091194968553448,0.6738816738816729,0.7291513517928612,0.687727343902199,6,26,"[np.int64(2), np.int64(20), np.int64(25), np.int64(30), np.int64(37)]"
0.8311787072243346,0.8304703832752613,0.8195121951219512,0.8195121951219512,0.8195121951219512,0.6609407665505227,0.6609407665505227,0.8195121951219498,0.8414285714285702,0.8924576074332172,0.8711523304481003,7,21,"[np.int64(1), np.int64(4), np.int64(17), np.int64(22), np.int64(48)]"
0.7368827160493827,0.7268812070282659,0.8706199460916442,0.5243506493506493,0.6545086119554204,0.5013205539868163,0.46241728298949014,0.5243506493506485,0.9294117647058809,0.8328196619556913,0.8378583530114084,8,29,"[np.int64(7), np.int64(9), np.int64(26), np.int64(38), np.int64(45)]"
0.7745779543197616,0.7776911230453325,0.7203389830508474,0.8726899383983573,0.7892293407613742,0.5634613243070415,0.5516799083704172,0.8726899383983554,0.6826923076923064,0.8684903648712684,0.8625648098963361,9,23,"[np.int64(14), np.int64(33), np.int64(39), np.int64(43)]"
