accuracy,balanced_accuracy,precision,recall,f1,mcc,kappa,sensitivity,specificity,roc_auc,pr_auc,fold,n_selected_features,test_subjects
0.7364130434782609,0.7335062082006646,0.7419354838709677,0.6792452830188679,0.7092077087794433,0.4705563936086483,0.46902753728425406,0.6792452830188674,0.7877671333824607,0.7935917610083043,0.7074758711937346,0,27,"[np.int64(2), np.int64(8), np.int64(19), np.int64(20), np.int64(23), np.int64(25), np.int64(30), np.int64(37), np.int64(38), np.int64(45)]"
0.7780645161290323,0.7780633651175146,0.7794117647058824,0.7753872633390706,0.7773943054357204,0.5561353722963791,0.5561279647891857,0.7753872633390699,0.7807394668959581,0.8618934650282742,0.8462628972563635,1,29,"[np.int64(4), np.int64(13), np.int64(14), np.int64(17), np.int64(22), np.int64(24), np.int64(29), np.int64(39), np.int64(41)]"
0.730958230958231,0.729638267878099,0.7625968992248062,0.6563803169307757,0.7055132227700582,0.46480416280677334,0.46041153359525866,0.6563803169307751,0.8028962188254217,0.787877669578497,0.7944580757333287,2,27,"[np.int64(7), np.int64(9), np.int64(10), np.int64(18), np.int64(21), np.int64(26), np.int64(31), np.int64(34), np.int64(35), np.int64(42)]"
0.6838069463238611,0.6855357666373497,0.6519647153167603,0.7527777777777778,0.6987537602062742,0.37387864061743187,0.36963883511212403,0.7527777777777771,0.6182937554969212,0.7292179712694224,0.6479961073551438,3,27,"[np.int64(11), np.int64(12), np.int64(27), np.int64(28), np.int64(32), np.int64(33), np.int64(40), np.int64(43), np.int64(47)]"
0.6435897435897436,0.6446646675930666,0.6201298701298701,0.6761061946902654,0.6469093988145639,0.2895670501302503,0.28846854992781,0.6761061946902649,0.6132231404958673,0.7050954435749288,0.6685906105182646,4,22,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(15), np.int64(16), np.int64(36), np.int64(44), np.int64(46), np.int64(48)]"
