ablation,n_epochs,f1_mean,f1_std,bal_acc_mean,n_features_mean
A1_no_qc,,0.741587666594649,0.034295966901790126,0.7425975975975976,30.2
A2_old_zscore,,0.5060446610769687,0.1246994197121599,0.5856114182177936,31.6
A8_spectral_only,,0.7191951943239749,0.05086954293129549,0.7280383506592626,28.4
A9_spectral_plus_nonlinear,,0.7017818458252723,0.025158909789343972,0.7077968235013558,29.2
