accuracy,balanced_accuracy,precision,recall,f1,mcc,kappa,sensitivity,specificity,roc_auc,pr_auc,model,fold
0.8486943164362519,0.848023078829068,0.9057971014492754,0.7751937984496124,0.835421888053467,0.704207120290429,0.6969638971000007,0.7751937984496112,0.9208523592085222,0.9051950963387729,0.9152112714923266,logreg,0
0.8410138248847926,0.8403844111712859,0.8924731182795699,0.772093023255814,0.827930174563591,0.6877943955714153,0.6816084377059987,0.7720930232558127,0.9086757990867566,0.9136384552759196,0.9298841320797044,svm_rbf,0
0.8325652841781874,0.8318572793883403,0.8903107861060329,0.7550387596899225,0.8171140939597316,0.6723211092203925,0.6646367831900126,0.7550387596899213,0.9086757990867566,0.9152678961216713,0.9210475988065061,random_forest,0
0.7596006144393241,0.7587094262150011,0.8180076628352491,0.662015503875969,0.7317909168808912,0.5278642349165251,0.5183215255763816,0.662015503875968,0.8554033485540321,0.8220122001581065,0.8486633999796693,mlp,0
0.8225806451612904,0.8219071891260485,0.875,0.7488372093023256,0.8070175438596491,0.6513629366705878,0.6446632498989856,0.7488372093023244,0.8949771689497703,0.8944485740917727,0.905218824608135,xgboost,0
0.8425499231950845,0.8419206399773459,0.8942652329749103,0.7736434108527132,0.829592684954281,0.6908985611220277,0.6846846846846847,0.7736434108527119,0.9101978691019773,0.9097247295080999,0.915056778173539,standard_anfis,0
0.6698813056379822,0.6695579429376541,0.6620689655172414,0.7058823529411765,0.6832740213523132,0.3400774188658448,0.3393175760512809,0.7058823529411754,0.6332335329341308,0.7001805213103205,0.6110963116008993,logreg,1
0.7344213649851632,0.7347305389221557,0.7555555555555555,0.7,0.7267175572519083,0.4704460021825036,0.46915122981475776,0.699999999999999,0.7694610778443102,0.8128434307854878,0.8123471581406163,svm_rbf,1
0.7470326409495549,0.7480494892567806,0.8240917782026769,0.6338235294117647,0.7165419783873649,0.509018072047498,0.4950723007500297,0.6338235294117638,0.8622754491017951,0.8210604526241635,0.8339461958114764,random_forest,1
0.755192878338279,0.7549885523071505,0.7471751412429378,0.7779411764705882,0.7622478386167147,0.5106069839425604,0.5101657886854948,0.777941176470587,0.7320359281437114,0.8145627861923213,0.7494172200783238,mlp,1
0.7937685459940653,0.7941748855230715,0.8262987012987013,0.7485294117647059,0.7854938271604939,0.5905169660366683,0.5878528190328711,0.7485294117647048,0.8398203592814358,0.8674070975695667,0.8791168161306451,xgboost,1
0.6921364985163204,0.6917884818598098,0.6817558299039781,0.7308823529411764,0.7054648687012065,0.3848452370735033,0.3838253889229115,0.7308823529411753,0.6526946107784422,0.7527012152166256,0.7205628873143793,standard_anfis,1
0.8609341825902336,0.8611145056825125,0.8429203539823009,0.8639455782312925,0.8533034714445689,0.7213496575467585,0.7211518906680043,0.8639455782312905,0.8582834331337308,0.9284107521917615,0.9268421723235306,logreg,2
0.8938428874734607,0.891916846578951,0.9069212410501193,0.8616780045351474,0.8837209302325582,0.7870534545635512,0.786182194560584,0.8616780045351454,0.9221556886227527,0.9540827641768616,0.9511739206430562,svm_rbf,2
